PageNo,Text
1,"['UTLÄGGNINGSSKRIFT nr', '359 109', 'Int CI', 'C 08 k 1/60', 'P.ans. nr', '2479/69', 'Inkom den', '21 II 1969', 'Giltighetsdag den', '21 II 1969', 'PATENT- - OCH', 'Ans. allmänt tillgänglig den', '24 VIII 1969', 'REGISTRERINGSVERKET', 'Ans. utlagd och utläggnings-', 'skriften publicerad den', '20 VIII 1973', 'Prioritet', 'begärd frân den 23 II 1968', '(USA, 707 414)', 'UNILEVER-EMERY NV, GOUDA, NEDERLÄNDERNA', 'Uppfinnare: J H Ludwig, Shaker Heights och K J Witsken, Cincinnati, Ohio USA', 'Ombud: L Brann', 'Polymert material innehallande bor-kväveförehing jämte sätt att framställa', 'detsamma', 'I', 'Föreliggande uppfinning hänför sig till införlivning av bur-', 'liknande bor-kväveinnehällande föreningar i polymera material. Uppfin-', 'ningen avser närmare bestämt polymera material som innehäller bur-', 'liknande por-kväveföreningar samt ett förfarande för framställning av', 'sádana polymera kompositioner med förbättrade egenskaper innefattan-', 'de antistatiska egenskaper.', 'En vanlig olägenhet hos substrat framställda av natur-', 'hartser eller syntetiska hartser antingen i folie eller fiberform', 'är att sádana substrat ofta har en benägenhet att samla statisk', 'elektricitet. Eftersom sádana polymera material vanligtvis utgör', 'elektriska icke-ledare avleder de icke pã ett effektivt sätt de', 'elektriska laddningar som har ackumulerats pá dem.', 'Denna anlagring av statisk elektricitet pá fibrer, trâdar,', 'filmer, folier och formade artiklar framställda av syntetiska poly-', 'merer eller naturliga polymerer är icke önskvärd, efter de ger upp-', 'hov till problem vid bearbetning av dessa material för framställ-', 'ning av färdiga produkter. Närvaron av statisk elektricitet 1 sãda-', 'na produkter är icke endast i sig själv besvärlig utan medför även', 'att damm och luft attraheras till partiklarna. Folier och tyger som', 'som innehäller ackumulerad statisk elektricitet har dessutom icke ett', 'Dupl.kl. c 08 k 1/40_', 'b. ""']"
2,"['2', 'lämpligt fall och har benägenhet att häfta vid intilliggande artik-', 'lar pá ett fult och obehagligt sätt.', 'Till följd av dessa problem som erhállas som resultat', 'av ackumuleringen av statisk elektricitet i polymera material ha', 'manga försök gjorts att fà fram effektiva antistatmedel för tillsats', 'till sãdana material. Dessa antistatmedel ha införlivats i de polymera', 'produkterna och ha även använts för ytbehandling av de polymera', 'produkterna.', 'Antistatmedel skola för att vara effektiva tillhandahálla', 'varaktigt antistatiskt skydd, ha lâg toxitet och vara lätta att', 'anbringa eller införliva.', 'Även om ett antal antistatmedel som uppfylla vissa eller', 'alla dessa önskade egenskaper 1 större eller mindre utsträckning', 'tidigare ha föreslagits förokommer en kontinuerlig forskning för att', 'fâ fram nya medel som pá ett effektivt sätt kan förläna antistatiska', 'egenskaper ât polymera material.', 'Ett första ändamäl enligt föreliggande uppfinning är sã-', 'ledes att tillhandahálla polymera material med förbättrade', 'egenskaper som innehäller bor-kvävehaltiga föreningar.', 'Ett annat ändamäl är att tillhandahâlla naturliga eller', 'syntetiska polymermaterial som innehâlla nya och effektiva anti-', 'statmedel, som är lämpliga när det gäller att förhindra uppbyggnad', 'av icke önskvärda laddningar av statisk elektricitet.', 'Ett annat ändamál enligt uppfinningen är att tillhandahâlla', 'ett förfarande för att framställa sãdana polymera material med', 'förbättrade antistatiska egenskaper.', 'Ytterligare ändamäl och fördelar komma att framga ur följande', 'beskrivning.', 'Föreliggande uppfinning tillhandahäller 1 överensstämmelse', 'med dessa ändamäl syntetiska, polymera material behandlade med en', 'eller flera burliknande bor-kvävehaltiga föreningar. De burliknande', 'bor-kvävehaltiga föreningar som användas enligt uppfinningen inne-', 'hálla sombryaghuvudatomer kväve och bor, som ha förmäga till transannu-', 'lär samverkan genom en kovalent koordinatbindning som bildats av', 'det ensamma paret elektroner hos kväveatomen och den öppna sextetten', 'av elektroner hos boratomen. Föreningama behämnas ofta triptykboroxazo-', 'lidiner, eftersom de innehâlla bor och kväve och ha tre separata ringar.', 'De burliknande lor-kväveföreningar sum användas sásom', 'polymerbehandlingsmedel enligt föreliggande uppfinning motsvara den', 'allmänna formeln:']"
3,"['3', 'N', '(CyRay)', '(CxR2x Formel I', '(CzR2z)', 'B', 'o', 'o', 'o', 'vari x, y och Z betecknar samma eller olika heltal frän 2 till 4 och', 'ange det antal kolatomer som bilda de respektive ringarna och antalet', 'R-substituenter som äro bundna till nämnda kolatomer. R-substituent-', 'grupperna kan vara väte, alkylgrupper som innehâlla frän 1 till unge-', 'fär 16 kolatomer, cykloalkylgrupper som innehálla frän 3 till ungefär 7', 'kolatomer, alkenyl- och cykloalkenylgrupper som innehâlla frán 2', 'till ungefär 7 kolatomer, alkylnitriler, arylgrupper, hydroxi-', 'substituerade C1- till ungefär C6-lägre alkylgrupper, amino-substitue-', 'rade C1- till ungefär C6-lägre alkylgrupper, lägre alkylsubstituerade', 'arylgrupper, arylsubstituerade lägre alkylgrupper, grupper med', 'formeln: ,OC-R_ m vari Rn n betecknar en lägre alkylengrupp med 1 till', 'ungefär 6 kolatomer och Rm betecknar en alifatisk grupp (alkyl eller', 'alkenyl) med 1 till ungefär 18 kolatomer eller fler, eller en', 'arylgrupp och grupper med formeln: R. OR vari R n definieras pá samma', 'p', 'sätt som tidigare och Rp betecknar en C1- - till ungefär C6-1ägre', 'alifatisk grupp (alkyl eller alkenyl) eller en arylgrupp.', 'Exempel pá olika burliknande ringsystem som motsvara', 'den ovan angivna allmänna strukturformeln och som införlivas 1', 'polymera material enligt föreliggande uppfinning visas i formlerna', 'II till VI. R-substituenterna äro desamma som i den allmänna formeln I.', 'Endast ett begränsat antal möjliga formlerna visas. Det skall', 'emellertid framhällasratt burliknande föreningar med vilken som', 'helst kombination av 5, 6 -och 7-ringar (i vilka var och en av x, y och', 'Z i grundformeln väljes bland heltalen 2, 3 och 4) kunna användas.', 'Blandningar av de olika burliknande föreningarna kunna även användas.', 'R""', ""R'"", '3', ""R'3"", '4', 'R"",', '4', 'R3', 'Formel II.', 'R4', 'Substituerade 2,8,9-trioxa-5-', ""R'"", '2', 'N', '-1-boratricyklo-[3.3.3.0]-unde-', 'R""2', 'kaner', ""R' 1"", 'R\' ""', 'R2', '1', 'B', 'o', 'o', 'R1', 'o']"
4,"['4', ""R'"", 'R""3', ""R'3"", '4', 'Formel III.', 'R""4', 'Substituerade 2,9,10-trioxa-', 'R6 R5', '-6-aza-l-boratricyklo-[4.3.3.0}.', ""R'"", '-dodekaner', ""R'"", '2', 'N', 'R4', ""R'1"", 'R""', 'R3', '1', 'B', 'o', 'O', 'R2', 'R1', 'R""', '3', ""R'"", '5.', ""R'6"", 'R""4', 'R5', 'R6', ""R's"", 'R4', 'Formel IV.', 'R""2', 'N', 'R3', 'Substituerade 2, 10, 11-trioxa-', ""R'3"", '-6-aza-l-boratricyklo-[4.4.3', 'R"" 1', '-tridekaner', ""R'"", 'B', '2', 'R2', '(x=3, y=3, z=2)', 'O', ""R'."", 'O', '1', 'R1', ""R'5"", ""R'6"", 'R""', 'R6', '5', ""R'4"", 'R""', 'R5', '6', 'R""4', 'R4', 'N', ""R'"", '3', 'Formel V.', 'R"". 3', 'R3', ""R'"", 'Substituerade 2,10, 11-trioxa-', '2°', 'R""2', '- -6-aza-l-boratricyklo-[4.4.4,0)', 'R', '- tetradekaner', 'B', '2', ""R' 1"", 'o', 'o', '(x=3, y=3, 2=3) =', 'o', 'R', 'R""', '1', ':', '1', ""R'3"", ""R'4"", 'R""', 'R8', 'R7', ""R''3"", '4', 'R6', 'Formel VI.', ""R'"", 'R"",', 'N', 'Substituerade 2,10,11-trioxa-', 'R5', 'R5', '- -7-aza-l-boratricyklo-', 'R""', '4', '- -[5.3.3.0]-tridekaner', ""R'"", '1', '1', 'R3', '(x=4, y=2, z=2)', 'B', 'R2', 'o', 'R', '1', 'Det skall även pápekas att de ovan beskrivna föreningarna', 'innefatta sãdana vari R-substituenterna pa intilliggande kolatomer', 'i de burliknande bor-kvävehaltiga föreningarna enligt föreliggande', ""uppfinning äro förenade för bildning av en cy'kloalkyl- eller cyklo-"", 'alkenylgrupp. Ett exempel pã en sádan förening i vilken en kombination']"
5,"['5', 'av R-grupper bildar en cyklisk alifatisk grupp R:', 'C', 'C', 'C', 'N', 'CH', 'C', 'CH3', 'Formel VII.', '3', 'B', 'o', '(11,14-dimetyl-2,12,13-trioxa-9-aza-1-boratetracyklo-[7.3.3.0.03.91- -', 'pentadeka-3,5.7-trien] .', 'Det skall även framhállas att uttrycket ""arylgrupper""', 'som här användes för att beskriva substituenter i ringarna av de', 'burliknande por-kväveföreningarna är avsett att innefatta substituerade', 'arylgrupper, sãsom hydroxi-, alkoxi-, nitro- eller cyano-substituerade', 'arylgrupper. De burliknande bor-kvävetillsatsmedlen enligt föreliggande', 'uppfinning innefatta exempelvis:', 'Formel VIII.', 'N', 'CH3', 'CH3', '13', 'o', '[3,7-bis (4-metylfenyl)-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]', '-undekan 1. .', ';NO2', 'NO2', 'Formel IX', 'N', 'CH3O', 'OCH3', 'B', 'o', '3,7-bis(3-nitro-4-metoxifenyl)-2,8,9-trioxa-5-aza-l-boratricyklo-', '- [3.3.3, 01-undekan]. -', 'Sâsom tidigare framhällits kunna R-substituenterna hos de', 'burliknande bor-kvävetillsatsmedlen enligt föreliggande uppfinning', 'även innefatta ester-, eter- eller amido-grupper. Sâdana grunner', 'Q', 'innefatta:', 'il', 'i', 'i', 'i', '- - -CH2O-C2H5', '-grupper och liknande.', 'Det skall pâpekas att när en eller flera av R-substituenterna']"
6,"['6', 'o', '""', 'i formel I utgöra estergrupper med formeln Rn n OC-R m , varvid', 'R_', 'm', 'betecknar en alkyl-, alkenyl- eller arylgrupp är denna definition av', ""I'm avsedd att innefatta substituerade grupper, sásom alkyl-, hydroxi-,"", 'amino-, amido- eller cyano-substituerad alkyl-, alkenyl- och aryl-', 'grupper. Tillsatsmedlen kunna exempelvis motsvara formlerna:', 'Formel X.', 'o', 'N', 'o', 'Il', 'C-O-CH,', 'CH', '2', '3', 'CH2-O-C', 'B', 'O=C-OH', 'O=C-OH', 'o', 'o', 'eller', 'Formel XI.', 'NCO', 'NCO', 'o', 'N', '9', 'CH3', 'NH-C-O-CH2', 'CH2', 'CH2 - -O-C-NH-', 'CH', '3', 'B', 'Enligt en särskilt lämplig utföringsform av föreliggande', 'uppfinning ha de burliknande bor-kvävehaltiga föreningar som inför-', 'livas i polymera material en formel som motsvara formel II vari', 'R1\' R\'1\' R""1 utgöra grupper av den typ som defhierades 1 samband med', 'R-substituenterna i formel I och de andra R-substituenterna utgöra', 'väteatomer. Föreningar med denna särskilt lämpliga formel vari R1,', 'R\'1 och R""1 utgöra lägre alkylgrupper anses för närvarande bäst att', 'användas enligt föreliggande uppfinning, i främsta rummet beroende', 'pá deras relativt lága kostnad och enklà frainställning', 'Under det att föreningar med formel II i allmänhet tillhanda-', 'hâlla förbättrade antistatiska egenskaper i polymera material kunna', 'vissa av de övriga klasserna av burliknande bor-kväveföreningar som', 'här beskrivas, sãsom de som motsvara formlerna III till VI,ge', 'ekvivalenta eller överlägsna resultat med speciella polymermaterial.', 'Speciella burlikmande bor-kväveföreningar som pá ett', 'effektivt sätt kunna användas i polymermaterial enligt föreliggande', 'uppfinning och som förläna förbättrade antistatiska egenskaper', 'ât sádana polymermaterial innefatta:']"
7,"['7', '8,9-trioxa-5-eza-l-boratricyklo-[3.3.3.0]-undekan', '2, 0,11-trioxa-6-aza-1-boratricyklo-[4.4.4.0]-tetradekan', '12-metyl-2,10,11-trioxa-6-aza-l-boratricyklo-[4.4.3.0)-tridekan', '8, -dimetyl-2,9,10-trioxa-6-aza-1-boratricyklo-[4.3.3.0]-dodek', ' 3-metyl-2,8.9-trioxa-5-aza-l-boratricyklo-[3.3.3.01-undekan', '3,7-dimetyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undekan', ' 3,7,10-trimetyl-2,8.9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undekan', '3,7-dimetyl-10-etyl-2,8,9-trioxa-5-aza-l-boratricyklo-13.3.30]-undekan', '3-metyl-7,10-dietyl-2,8,9-trioxa-5-aza-1-boratricyklo-[3.3.3.0]-undekan', '3,7-dimetyl-ll-etyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undekan', '4,7,10-tetrametyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undekan', ' 3,7-dihydroximetyl-2,8,9-trioxa-5-azal-boratricyklo-(3.3.3.0]-undekan', ' 3-metyl-7,10-difenyl-2,8,9-trioxa-5-aza-1-boratricyklo-[3.3.3.0]-undekan', ' 3.7-dimetyl-10-fenyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undeka', '11,14-dimetyl-2,12,13-trioxa-9-aza-1-boratetracyklo-[7.3.3.0.05.01-', '-pentadeka-3,5,7-trien', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-l-boratricyklo-', '-[3.3.3.0]-undekan', '3, 7-dihydroximetyl-10-metyl-2,8,9-trioxa-5-aza-1-boratricyklo-', '- [3.3.3.0]-undekan', ' 3-hydroximetyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3,0]-undekan-', 'stearat', '-3,7-difenoximetyl-10-metyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0)-', '-undekan', '3-aminometyl-7,10-dimetyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0)-', '-undekan', ' 3,7,10-trihydroximetyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-', '-undekan', ' 3,7,10-trietyl-2,8,9-trioxa-5-aza-l-boratricyklo-[3.3.3.0]-undekan', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-l-boratricyklo-', '-3.3.3,0]-undekanacetat', 'b-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-l-boratricyklo-', '- [3.3.3,0]-undekanpalmitat', '-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-1-boratricyklo-', '-[3.3.3.0]-undekanstearat', '3-hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-1-boratricyklo-', '[3.3.3.0]-undekanoleat', '--hydroximetyl-7,10-dimetyl-2,8,9-trioxa-5-aza-1-boratricyklo-', '-[3.3.3.0]-undekanpelargonat', 'och föreningar med följande formler:']"
8,"['8', 'Formel XII.', 'N', 'o R1', 'Il', '1', 'CH,', 'CH3', 'CH2 OC - C R2', '3', 'B', 'R', 'o', 'O', 'Formel XIII.', 'N', 'o R', 'R, R1 o', 'i¹', 'CH', 'R2-C-COCH2', 'CH2OC-C- R2', '3', 'I', 'B', 'R3', 'R3', 'o', 'o', '[vari R1, R2 och R3 beteckna lägre alkylgrupper och totalt innehâlla', '7-9 kolatomer]', 'Formel XIV', 'N', 'o', 'CH3', 'CH', 'CH2OC-C4-8H9-1', '3', 'B', 'O', 'De burformade antistatmedlen enligt föreliggande uppfinning', 'kunna framställas genom omsättning av ammoniak eller en lämplig', 'alkanolamin med en epoxiförening, varefter reaktionsprodukten frân', 'nämnda reaktion omsättes med borsyra, borsyraanhydrid eller borsyra-', 'derivat, sásom tributylborat. Dessa reaktioner kunna âskádliggöras', 'medelst följande reaktionsformler:', 'Framställning av aminer.', '9', 'NH(CH2CH2OH) 2+CH2CHR', 'N(CH2CH2OH)2 (CH2CHROH)', 'NH2 (CH2CH2OH) +CH2CHR', '8', 'N(CH2CH2OH) (CH2CHROH)2', 'Frams tällning av burliknande bor-kvävehaltiga, föreningar.', 'Formel XV.', 'N(CH2-CHR-OH)3+H3BO3', 'N', 'R', 'R+3H2O', 'R', 'B', 'o', 'o']"
9,"['9', 'Formel XV.', 'N', 'N (CH2 2-CHR-OH) 3+B (O-C4H9)', 'R', 'R', 'R+3C4H9OH', 'B', 'o', 'Omsättningen av aminen med borsyra eller triborat genomföres', '1 allmänhet under vakuumbetingelser under de sista stegen i reaktion-', 'en för att man skall säkerställa att reaktionen genomföres till', 'fullbordan. Reaktionen genomföres vid en ursprungig temperatur av', 'ungefär 120-140°c, vilken gradvis höjes till ungefär 150-200°C', 'Vatten (när en borsyrareaktant användes) eller butylalkohol (när en', 'tributylboratreaktant användes) avlägsnas sãsom biprodukter frán', 'reaktionen.', 'De burliknande bor-kvävehaltiga föreningar som användas', 'enligt föreliggande uppfinning kunna existera som blandningar av', 'olika isomerer. Som exempel kan nämnasvatt 3,7,10-trimetyl-2,8.9-', '-trioxa-5-aza-l-boratricyklo-[3.3.0]-undekan utgör en blandning av', 'fyra isomerer, som skilja sig i den konfiguration i vilken metylgrupper-', 'na äro substituerade pã 3,7-och 10-kolatomerna.', 'Flera av antistatmedlen enligt uppfinningen kunna existera', 'som blandningar av burliknande föreningar med olika ringstorlekar,', 'vilka dock alla ha samma kemiska formel, dvs. samma atominnehâll.', 'Det har exempelvis visat sig att 3,7,10-trihydroximetyl-2,8.9-trioxa', '5-aza-l-boratricyklo-[3,3.3.0]-undekan i själva verket utgör en', 'blandning av isomerer som skilja sig i ringstruktur, varvid ungefär', '80 % eller mer innehäller minst en sex-ring. Den förening som betecknas', 'pa detta sätt är sâledes sannolikt en blandning av följande mest', 'troliga isomerer:', 'Formel XVI.', 'Formel XVII.', 'N', 'OH', 'N', ':', 'CH_ 2 OH', 'CH. OH', 'CH2OH', 'CH,OH', '2', 'CH OH', 'B', 'V', '2', 'B', 'o', '3, 7,10-trihydroximetyl-2,8,9', '4-hydroxi-8,11-dihydroximetyl-', '- -trioxa-5-aza-l-boratricyklo-', '- -2,9,10-trioxa-6-aza-l-boratricyklo-', '- [3. .3.3,0}-undekan -', '-[4.3.3.0] . dodekan']"
10,"['10', 'Formel XVIII.', 'Formel XIX.', 'OH', 'OH', 'OH', 'OH,', 'N', 'OH', 'N', 'CH2OH', 'B', 'B', 'o', 'o', 'o', '+,8-dihydroxi-12-hydroximetyl-', '4, 13-trihydroxi-2,10,11 trioxa-', '10.11-trioxa-6-aza-1-boratri-', '-6-aza-1-boratricyklo-[4.4.4.0)-', 'cyklo-[4.4.3.0]-tridekan', 'tetradekan', 'Behandling av polymera material med de burliknande bor-', '-kvävehaltiga föreningar som här beskrivas har förutom att de förläna', 'förbättrade antistatiska egenskaper àt de polymera materialen även', 'visat sig förbättra lambeständighetsegenskaperna hos de polymera', 'materialen.', 'De burliknande bor-kvävehaltiga föreningarna enligt', 'uppfinningen kunna användas för att behandla naturliga och syntetiska', 'polymera textilmaterial 1 form av fibrer, garn, trâdar, rovings,', 'förgarn, tops och liknande. De kunna även användas vid behandling av', 'polymera material 1 form av folier, filmer eller formade artiklar.', 'De textila eller andra polymera material som med fördel kunna behandlas', 'med dessa antistatmedel innefatta naturfibrer, sásom ull, bomull,', 'silke och liknande, och syntetfibrer, sâsom polyvinylklorid, polyviny1-', 'acetat, polyeten, polypropen, polyetylentereftalat, sampolymerer av', 'vinylklorid och vinylacetat, polyestrar. och polyakrylater. Särskilt', 'gynnsamma resultat kunna erhâllas när polyvinylklorid, polyvinylacetat,', 'polyeten och polypropen behandlas med dessa antistatmedel.', 'De burliknande bor-kväveföreningar som användas i föreliggan-', 'de uppfinning kunna anbringas pá eller införlivas i det syntetiska', 'polymera materialet med användning av konventionella metoder. Vid', 'framställning av foliematerial, filmer eller formade artiklar av', 'polyvinylklorid sättas exempelvis de burliknande bor-kväveföreningarna', '1 allmänhet till strax före malningen av de polymera materialen.', 'Antistatmeden blandas vanligtvis med polyeten och polypropen-hartser', 'i en mekanisk blandare, sásom en Waring Blender-anordning) innan harts-', 'blandningen smältes under tryck vid förhöjd temperatur.', 'De burliknande bor-kväveföreningarna enligt uppfinningen', 'kunna även anbringas pá textilfibrer eller-tyg genom sprutning,', 'doppning, borstning eller nâgon annan konventionell metod. Antistat-', 'medlen anbringas 1 allmänhet pã textilmaterialen i utspädda vatten-', 'lösningar och kunna sóledes anbringas medelst en konventionell', 'vals av ""kiss roll""-typ pã en lindningsmaskin.']"
